lga_code,lat,lon,lga_name
21370,-36.34517879,144.7163897,Campaspe
21450,-38.0831016,145.5727336,Cardinia
21610,-38.1043161,145.3090431,Casey
21670,-37.00714374,143.7138334,Central Goldfields
21750,-38.45193519,143.5951933,Colac Otway
21830,-38.20429546,143.19864,Corangamite
21890,-37.73341565,145.0143887,Darebin
22110,-37.37800402,148.2917145,East Gippsland
22170,-38.13457063,145.1738125,Frankston
22250,-35.75150689,143.8038939,Gannawarra
22310,-37.90121721,145.0426099,Glen Eira
22410,-37.87046994,141.3857504,Glenelg
22490,-37.88206161,143.8424768,Golden Plains
22620,-36.73442682,144.4226496,Greater Bendigo
22670,-38.00562377,145.1900047,Greater Dandenong
22750,-38.06901251,144.4172005,Greater Geelong
22830,-36.39701446,145.3861573,Greater Shepparton
22910,-37.31693171,144.0575572,Hepburn
22980,-36.05150581,141.7525565,Hindmarsh
23110,-37.85468564,144.8298563,Hobsons Bay
23190,-36.82576865,142.0904048,Horsham
23270,-37.58914388,144.8244463,Hume
23350,-36.22558749,146.7230101,Indigo
23430,-37.98859555,145.1050718,Kingston
23670,-37.88897674,145.2585499,Knox
23810,-38.27459696,146.4381022,Latrobe
23940,-36.36391138,143.8671497,Loddon
24130,-37.33563024,144.6165827,Macedon Ranges
24210,-37.76151724,145.1885274,Manningham
24250,-37.2003694,146.2068851,Mansfield
24330,-37.79507595,144.8776589,Maribyrnong
24410,-37.80484049,145.2651884,Maroondah
24600,-37.8107082,144.9438411,Melbourne
24650,-37.69297938,144.6259787,Melton
24780,-34.86921714,141.682881,Mildura
24850,-37.13750755,145.0016232,Mitchell
24900,-36.0619114,145.5503983,Moira
24970,-37.89714699,145.1440335,Monash
25060,-37.74947371,144.8957922,Moonee Valley
25150,-37.6327967,144.2156098,Moorabool
25250,-37.72995073,144.9489109,Moreland
25340,-38.34165578,145.0354512,Mornington Peninsula
25430,-37.05077343,144.1929301,Mount Alexander
25490,-38.12245418,142.4900133,Moyne
25620,-37.31098808,145.6301886,Murrindindi
25710,-37.62284912,145.2366718,Nillumbik
25810,-36.84456817,142.9197047,Northern Grampians
25900,-37.85209202,144.9662883,Port Phillip
25990,-37.3164249,143.3750682,Pyrenees
26080,-38.26459361,144.6466454,Queenscliffe
26170,-38.62135631,146.0759838,South Gippsland
26260,-37.53650609,142.0331172,Southern Grampians
26350,-37.85790163,145.0337035,Stonnington
26430,-36.76030488,145.4349905,Strathbogie
26490,-38.31229584,144.0531579,Surf Coast
26610,-35.12019705,143.1254601,Swan Hill
26670,-36.35445169,147.5988548,Towong
26700,-36.58829864,146.4283898,Wangaratta
26730,-38.37147487,142.5119729,Warrnambool
26810,-37.89391676,146.9195049,Wellington
26890,-36.67556153,141.2793518,West Wimmera
26980,-37.83021203,145.1550804,Whitehorse
27070,-37.54717681,145.0776154,Whittlesea
27170,-36.15051956,146.8825827,Wodonga
27260,-37.88664677,144.6182127,Wyndham
27350,-37.80194965,144.9987374,Yarra
27450,-37.71430265,145.6969616,Yarra Ranges
27630,-35.99007031,142.4190058,Yarriambiack
29399,-37.89543865,145.8886203,Unincorporated Vic
30250,-13.60938929,141.8284491,Aurukun
30300,-28.3159105,148.1161496,Balonne
30370,-24.93515566,149.9386987,Banana
30410,-23.11367228,145.6934295,Barcaldine
30450,-25.13104857,142.2674745,Barcoo
30760,-24.78561055,145.7912727,Blackall Tambo
30900,-22.48043176,139.2464506,Boulia
31000,-27.43788723,153.0388653,Brisbane
31750,-28.02128016,142.5948588,Bulloo
31820,-24.96781397,152.0358128,Bundaberg
31900,-19.8235655,147.2430966,Burdekin
31950,-18.03136531,138.9477699,Burke
32080,-17.16023584,145.818967,Cairns
32250,-17.44439133,141.3647571,Carpentaria
32260,-17.95940494,145.925823,Cassowary Coast
32270,-24.0314387,148.4158182,Central Highlands
32310,-20.14885647,145.7882082,Charters Towers
32330,-26.28878574,151.9360744,Cherbourg
32450,-20.81768349,140.2647718,Cloncurry
32500,-14.23600625,143.259578,Cook
32600,-18.55408653,142.2168111,Croydon
32750,-24.6302482,139.7319925,Diamantina
32770,-17.59647764,138.7809566,Doomadgee
32810,-16.22198792,145.2866534,Douglas
33100,-18.50460928,143.6604159,Etheridge
33200,-20.97387096,144.3217352,Flinders
33220,-25.52787355,152.6766038,Fraser Coast
33360,-24.17637175,151.306967,Gladstone
33430,-27.98078746,153.3183772,Gold Coast
33610,-28.37367827,150.3399087,Goondiwindi
33620,-26.14700199,152.4636822,Gympie
33800,-18.66186858,146.0475819,Hinchinbrook
33830,-15.16773853,145.1916067,Hope Vale
33960,-27.66560689,152.6674509,Ipswich
33980,-22.2381239,147.8917216,Isaac
34420,-15.31953606,141.8105915,Kowanyama
34530,-22.79619057,150.1934882,Livingstone
34570,-13.00533128,143.2402381,Lockhart River
34580,-27.64270517,152.2405672,Lockyer Valley
34590,-27.76236897,153.0402446,Logan
34710,-23.71811499,143.9593322,Longreach
34770,-21.13943147,148.8041711,Mackay
34800,-20.53399055,141.5869756,McKinlay
34830,-12.14167179,141.919786,Mapoon
34860,-26.5442701,148.2877058,Maranoa
34880,-16.98471859,143.9551852,Mareeba
35010,-27.11794067,152.8830931,Moreton Bay
35250,-16.6317551,139.4014109,Mornington
35300,-19.95389416,138.7822334,Mount Isa
35600,-26.18966178,146.4894829,Murweh
35670,-12.51569835,142.1125858,Napranum
35740,-26.32483052,152.9455575,Noosa
35760,-25.35527673,151.2041694,North Burnett
35780,-11.00493785,142.3129521,Northern Peninsula Area
35790,-18.73116701,146.6008133,Palm Island
35800,-28.07295142,145.7713124,Paroo
36070,-14.71944177,141.8074221,Pormpuraaw
36150,-26.34881194,143.893435,Quilpie
36250,-27.56847006,153.3608736,Redland
36300,-20.54063988,142.9010662,Richmond
36370,-23.44111967,150.2184103,Rockhampton
36510,-28.06233381,152.796215,Scenic Rim
36580,-27.00895455,152.4252134,Somerset
36630,-26.4052194,151.64694,South Burnett
36660,-28.40543404,151.8857995,Southern Downs
36720,-26.69604372,152.8982556,Sunshine Coast
36820,-17.93080192,145.3305143,Tablelands
36910,-27.58201104,151.533879,Toowoomba
36950,-10.7376987,142.4113004,Torres
36960,-9.859243969,142.36311,Torres Strait Island
37010,-19.39082283,146.7116069,Townsville
37300,-12.63986075,141.8792009,Weipa
37310,-26.8417677,150.3476628,Western Downs
37340,-20.70102856,147.7244338,Whitsunday
37400,-22.53912792,142.4245116,Winton
37550,-23.94374959,149.525622,Woorabinda
37570,-15.96833545,145.3129355,Wujal Wujal
37600,-16.99448811,145.8971871,Yarrabah
40070,-34.92204216,138.5989493,Adelaide
40120,-34.89271406,138.8363356,Adelaide Hills
40150,-34.48059356,138.454683,Adelaide Plains
40220,-35.3519109,138.8783688,Alexandrina
40250,-27.07760636,131.2057353,Anangu Pitjantjatjara Yunkunytjatjara
40310,-34.62104514,139.0016227,Barossa
40430,-33.79887966,137.9563441,Barunga West
40520,-34.26578948,140.4889274,Berri Barmera
40700,-34.93990924,138.6598443,Burnside
40910,-34.88364243,138.6823112,Campbelltown
41010,-32.10212429,133.8724222,Ceduna
41060,-34.89025129,138.523539,Charles Sturt
41140,-34.00394709,138.7359861,Clare and Gilbert Valleys
41190,-33.65029271,136.2847581,Cleve
41330,-29.01584399,134.7523606,Coober Pedy
41560,-33.98338426,137.7290506,Copper Coast
41750,-33.56150603,135.3447698,Elliston
41830,-32.07561225,138.3011876,Flinders Ranges
41960,-33.53428477,136.9644251,Franklin Harbour
42030,-34.621995,138.7299482,Gawler
42110,-33.64594825,139.0740828,Goyder
42250,-37.84607518,140.7247784,Grant
42600,-35.00125265,138.5212633,Holdfast Bay
42750,-35.82778,137.2398536,Kangaroo Island
43080,-34.95048008,140.0200915,Karoonda East Murray
43220,-33.00267617,136.1438058,Kimba
43360,-36.64349321,140.0255202,Kingston
43650,-34.41111173,138.8465243,Light
43710,-34.41214815,135.5969536,Lower Eyre Peninsula
43790,-34.50821052,140.3516312,Loxton Waikerie
44060,-35.03244784,138.539681,Maralinga Tjarutja
44210,-34.45019683,139.4613953,Marion
44340,-35.00380784,138.6218171,Mid Murray
44550,-35.08584691,138.8749553,Mitcham
44620,-37.82532111,140.7816719,Mount Barker
44830,-32.75826501,138.205111,Mount Gambier
45040,-35.15930359,139.3017561,Mount Remarkable
45090,-36.97725564,140.5473197,Murray Bridge
45120,-33.28638511,138.5114298,Naracoorte Lucindale
45290,-34.90745721,138.6363918,Northern Areas
45340,-35.17862555,138.5688807,Norwood Payneham and St Peters
45400,-32.52075466,138.6393593,Onkaparinga
45540,-32.86409971,139.0596545,Orroroo Carrieton
45680,-34.6889161,138.6628694,Peterborough
45890,-34.84070209,138.5613777,Playford
46090,-32.59111251,137.751179,Port Adelaide Enfield
46300,-34.72919067,135.8512414,Port Augusta
46450,-33.37680435,138.1059846,Port Lincoln
46510,-34.88399609,138.5979553,Port Pirie
46670,-34.1822249,140.8141504,Prospect
46860,-37.18766658,139.9794918,Renmark Paringa
46970,-30.55437204,136.8811802,Robe
47140,-34.77262416,138.6113237,Roxby Downs
47290,-35.39390502,140.5743571,Salisbury
47490,-32.70884077,134.5640553,Southern Mallee
47630,-36.22790958,140.5844451,Streaky Bay
47700,-34.80522344,138.7180761,Tatiara
47800,-35.71377555,139.7613116,Tea Tree Gully
47910,-34.17933515,136.0197011,Coorong
47980,-34.9548016,138.6040654,Tumby Bay
48050,-35.51269816,138.5461714,Unley
48130,-33.99144066,138.3565156,Victor Harbor
48260,-34.89265556,138.6169908,Wakefield
48340,-37.47038392,140.5188952,Walkerville
48410,-34.94133268,138.5438644,Wattle Range
48540,-33.03736396,137.494259,West Torrens
48640,-33.02863735,135.3146505,Whyalla
48750,-35.51857923,138.3371036,Wudinna
48830,-34.68355986,137.5600739,Yankalilla
49399,-29.58800238,136.7746005,Yorke Peninsula
50080,-34.73899242,118.1825942,Unincorporated SA
50210,-32.16749963,116.1369768,Albany
50250,-22.49362377,116.7261952,Armadale
50280,-34.0308066,115.2278526,Ashburton
50350,-31.90379659,115.9451688,Augusta Margaret River
50420,-31.9038246,115.9077562,Bassendean
50490,-31.9562618,115.948242,Bayswater
50560,-32.17466395,116.7965848,Belmont
50630,-32.81628241,116.3999147,Beverley
50770,-33.89175819,116.5240679,Boddington
50840,-34.00377049,116.1910118,Boyup Brook
50910,-32.36196626,117.0031827,Bridgetown-Greenbushes
50980,-18.67022209,122.4636597,Brookton
51080,-34.00250443,117.6613141,Broome
51120,-31.95258165,118.0286438,Broomehill-Tambellup
51190,-33.35171962,115.6643741,Bruce Rock
51260,-33.71842284,115.3488919,Bunbury
51310,-31.93624341,115.7864305,Busselton
51330,-32.03686508,115.916358,Cambridge
51400,-33.53232969,115.6357498,Canning
51470,-29.77321781,115.5778476,Capel
51540,-24.34991741,114.3910405,Carnamah
51610,-28.32235233,115.0591278,Carnarvon
51680,-31.37438894,116.0783469,Chapman Valley
51750,-31.98018947,115.7802112,Chittering
51820,-32.11437004,115.7933092,Christmas Island
51890,-33.28352931,116.2116143,Claremont
51960,-31.18676962,120.9644732,Cockburn
52030,-30.02160048,115.7592392,Cocos Islands
52100,-32.35835138,117.7990378,Collie
52170,-31.99391456,115.758653,Coolgardie
52240,-34.31480776,117.2858421,Coorow
52310,-32.7353971,117.1591563,Corrigin
52380,-27.31080415,117.940052,Cottesloe
52450,-31.59956302,117.1557205,Cranbrook
52520,-30.12524958,116.9447257,Cuballing
52590,-30.53961935,115.5061384,Cue
52660,-33.41544637,115.8520074,Cunderdin
52730,-34.89042655,117.1188598,Dalwallinu
52800,-17.79132016,124.977787,Dandaragan
52870,-33.66954001,115.9735494,Dardanup
52940,-31.10762175,117.1112814,Denmark
53010,-33.22449587,117.964553,Derby-West Kimberley
53080,-32.01131394,124.4179603,Donnybrook-Balingup
53150,-32.03804864,115.768246,Dowerin
53220,-21.76844684,123.5964975,Dumbleyung
53290,-33.22164024,122.2501583,Dundas
53360,-22.52166865,114.1671097,East Fremantle
53430,-32.05740689,115.7665003,East Pilbara
53570,-31.19157044,115.6991723,Esperance
53640,-34.06211054,118.2887408,Exmouth
53710,-31.24286268,116.7847612,Fremantle
53780,-32.06618209,115.9921521,Gingin
53800,-28.56144536,115.4979017,Gnowangerup
53920,-19.25809616,127.6168028,Goomalling
53990,-33.10112064,115.912531,Gosnells
54060,-29.32602583,115.0918319,Greater Geraldton
54130,-34.07053051,119.1011503,Halls Creek
54170,-31.78341411,115.7668172,Harvey
54200,-32.01222181,116.1228217,Irwin
54280,-30.74940806,125.0513299,Jerramungup
54310,-21.0493451,117.0360665,Joondalup
54340,-33.64828121,117.6842071,Kalamunda
54410,-31.58234326,117.814533,Kalgoorlie-Boulder
54480,-33.55081896,118.5722432,Karratha
54550,-33.90762137,117.0479956,Katanning
54620,-32.4272993,119.1847974,Kellerberrin
54690,-30.59043198,117.4254655,Kent
54760,-32.71750574,118.5761198,Kojonup
54830,-32.22768828,115.828636,Kondinin
54900,-33.05988331,119.287546,Koorda
54970,-27.89110048,125.4016718,Kulin
55040,-28.21231036,121.1453723,Kwinana
55110,-32.63388238,115.6828768,Lake Grace
55180,-34.55711331,116.3256989,Laverton
55250,-25.14009089,118.8640235,Leonora
55320,-32.04731492,115.8293241,Mandurah
55390,-29.57509488,123.9711099,Manjimup
55460,-31.51531425,118.3593534,Meekatharra
55530,-29.1581849,115.4842729,Melville
55600,-30.49805075,116.1854483,Menzies
55670,-29.06689971,116.0170935,Merredin
55740,-32.01464464,115.7654948,Mingenew
55810,-28.23805178,117.9764179,Moora
55880,-30.18374992,117.9621814,Morawa
55950,-30.62993235,118.3111429,Mosman Park
56090,-31.89989165,116.2516332,Mount Magnet
56230,-32.62364747,115.9894175,Mount Marshall
56300,-34.12846814,115.663913,Mukinbudin
56370,-32.04710018,118.6538585,Mundaring
56460,-32.99537344,117.262266,Murchison
56580,-31.97236507,115.789691,Murray
56730,-31.68597097,116.6359784,Nannup
56790,-27.75308051,114.6459255,Narembeen
56860,-31.14936471,118.2081287,Narrogin
56930,-31.99909366,115.7669324,Nedlands
57000,-29.44392915,116.6114294,Ngaanyatjarraku
57080,-31.95987127,115.8468027,Northam
57140,-32.51992652,117.2220404,Northampton
57210,-34.59720182,117.5619722,Nungarin
57280,-20.92890249,118.67312,Peppermint Grove
57350,-32.00478541,117.4234475,Perenjori
57420,-33.61618236,120.1386042,Perth
57490,-32.34419562,115.7890001,Pingelly
57700,-32.34423478,116.0343452,Plantagenet
57770,-26.5367687,114.5252846,Port Hedland
57840,-31.9977751,115.8699462,Quairading
57910,-31.88564297,115.8196475,Ravensthorpe
57980,-31.9519676,115.8186333,Rockingham
58050,-31.74132382,116.0673822,Sandstone
58190,-31.60665324,117.4949995,Serpentine-Jarrahdale
58260,-29.52575892,115.5773438,Shark Bay
